ID,Year,Country,iPodD,iPodER,iPadD,iPadER,iPhoneD,iPhoneER,BigMacD,BigMacER,CPIave,CPIave2010,CPIER,VATGST,TARIFFipod,TARIFFipad,TARIFFiphone,SHIP
1,2007,Argentina,999,3.154062112,#N/A,#N/A,#N/A,#N/A,8.25,3.08875,#N/A,#N/A,3.1155,0.21,0.200000003,0.125,#N/A,#N/A
1,2008,Argentina,1199,3.385471433,#N/A,#N/A,#N/A,#N/A,11,3.0195,#N/A,#N/A,3.1629,0.21,0.200000003,0.125,0.213333324,#N/A
1,2009,Argentina,1199,3.762930396,#N/A,#N/A,#N/A,#N/A,11.5,3.81125,#N/A,#N/A,3.7299,0.21,0.200000003,0.125,0.213333324,#N/A
1,2010,Argentina,1329,3.8597,3399,3.9514,#N/A,#N/A,7,3.7985,#N/A,#N/A,3.9123,0.21,0.200000003,0.125,0.213333324,2547.960087
1,2011,Argentina,1499,4.2804,3499,4.2032,#N/A,4.2032,20,4.1325,#N/A,#N/A,4.1296,0.21,0.200000003,0.125,0.213333324,1689.903761
1,2012,Argentina,1699,4.592,3999,4.6703,#N/A,4.6703,20,4.3135,#N/A,#N/A,4.5513,0.21,0.200000003,0.125,0.213333324,2018.084667
1,2013,Argentina,2499,5.7915,6599,5.7369,#N/A,5.7369,19,4.9765,#N/A,#N/A,5.4797,0.21,0.200000003,0.125,0.213333324,1572.533507
1,2014,Argentina,3999,8.4275,10799,8.416,#N/A,8.416,21,6.92125,105.5067,4.127738624,8.1209,0.21,0.200000003,0.219999999,0.243999988,1256.887288
1,2015,Argentina,4799,9.3638,14399,9.3638,#N/A,9.3638,28,8.61,120.604,4.718390292,9.2643,0.21,0.200000003,0.219999999,0.243999988,518.4802503
1,2016,Argentina,5499,15.1174,14399,15.1174,#N/A,15.1174,33,13.80925,#N/A,#N/A,14.7787,0.21,0.200000003,0.219999999,0.243999988,1876.784555
1,2017,Argentina,5999,17.6436,8999,17.2412,#N/A,17.2412,55,15.8575,#N/A,#N/A,16.5647,0.21,0.200000003,0.219999999,0.243999988,3052.766133
1,2018,Argentina,#N/A,#N/A,19699,38.6174,55552.6746,38.6174,75,18.9375,#N/A,#N/A,28.102,0.21,0.200000003,0,0.243999988,1940.597508
1,2019,Argentina,#N/A,#N/A,38799,56.4391,113340.4362,56.4391,75,37.455,#N/A,#N/A,48.3662,0.21,0.200000003,0,0.042666666,1906.411997
1,2020,Argentina,#N/A,#N/A,57599,75.1959,147717.8338,75.1959,171,60.0656,#N/A,#N/A,70.5688,0.21,0.200000003,0,0.042666666,1767.390919
2,2007,Australia,199,1.125809677,#N/A,#N/A,#N/A,#N/A,3.45,1.266865,91.4932,0.996452441,1.1946,0.1,0,0,0,#N/A
2,2008,Australia,189,1.467109802,#N/A,#N/A,#N/A,#N/A,3.45,1.026,95.4735,1.039801889,1.1981,0.1,0,0,0,#N/A
2,2009,Australia,199,1.262857447,#N/A,#N/A,#N/A,#N/A,4.34,1.2869,97.1644,1.05821748,1.2785,0.1,0,0,0,#N/A
2,2010,Australia,199,1.0934,629,1.0656,#N/A,#N/A,4.35,1.09355,100,1.0891,1.0891,0.1,0,0,0,1189
2,2011,Australia,179,0.9725,579,0.9798,859,0.9798,4.56,0.922381589,103.3039,1.125082775,0.969,0.1,0,0,0,772
2,2012,Australia,149,0.9461,539,0.9617,679,0.9617,4.8,0.972337012,105.1249,1.144915286,0.9659,0.1,0,0,0,925
2,2013,Australia,169,1.0733,539,1.0765,799,1.0765,4.7,0.959094615,107.7003,1.172963967,1.0369,0.1,0,0,0,818
2,2014,Australia,169,1.1431,598,1.1057,869,1.1057,5.05,1.128859288,110.3798,1.202146402,1.1104,0.1,0,0,0,678
2,2015,Australia,219,1.4175,619,1.4175,829,1.4175,5.3,1.227219734,112.0447,1.220278828,1.332,0.1,0,0,0,492
2,2016,Australia,219,1.3173,599,1.3173,929,1.3173,5.3,1.415728746,113.4755,1.235861671,1.345,0.1,0,0,0,526
2,2017,Australia,219,1.2494,469,1.2552,1079,1.2552,5.8,1.356668023,115.6868,1.259944939,1.3047,0.1,0,0,0,677
2,2018,Australia,#N/A,#N/A,469,1.3882,1079,1.3882,5.9,1.253682693,117.898,1.284027118,1.3398,0.1,0,0,0,827
2,2019,Australia,#N/A,#N/A,469,1.4688,1229,1.4688,6.1,1.401639919,119.7971,1.304710216,1.4388,0.1,0,0,0,596
2,2020,Australia,#N/A,#N/A,529,1.3841,1199,1.3841,6.45,1.449065353,120.8117,1.315760225,1.4519,0.1,0,0,0,884.75
3,2007,Brazil,676.7096651,1.830874882,#N/A,#N/A,#N/A,#N/A,6.4,2.1335,85.889,1.511131066,1.9475,0.19,0.200000003,0.125,0.213333324,#N/A
3,2008,Brazil,590.4815083,2.174565472,#N/A,#N/A,#N/A,#N/A,7.5,1.5846,90.7663,1.596942282,1.8364,0.19,0.200000003,0.119999997,0.207999989,#N/A
3,2009,Brazil,579,1.949122492,#N/A,#N/A,#N/A,#N/A,8.03,1.9971,95.203,1.675001582,1.9958,0.19,0.200000003,0.119999997,0.207999989,#N/A
3,2010,Brazil,579,1.7644,1649,1.7181,#N/A,#N/A,8.2,1.7233,100,1.7594,1.7594,0.19,0.200000003,0.119999997,0.207999989,2236
3,2011,Brazil,549,1.8085,1649,1.7549,#N/A,1.7549,9.5,1.5416,106.6364,1.876160822,1.6749,0.19,0.200000003,0.119999997,0.207999989,1483
3,2012,Brazil,579,2.0311,1549,2.0271,1999,2.0271,10.25,1.805,112.3985,1.977539209,1.9552,0.19,0.200000003,0.119999997,0.207999989,1771
3,2013,Brazil,759,2.217,1749,2.2667,2399,2.2667,11.25,1.99335,119.3721,2.100232727,2.1612,0.19,0.200000003,0.119999997,0.207999989,1380
3,2014,Brazil,829,2.4469,1749,2.3359,2799,2.3359,12.4,2.36305,126.9272,2.233157157,2.3552,0.19,0.200000003,0.119999997,0.207999989,1103
3,2015,Brazil,1179,3.9035,2537.74342,3.9035,2499,3.9035,13.5,2.59275,138.3886,2.434809028,3.3384,0.19,0.200000003,0.119999997,0.207999989,455
3,2016,Brazil,1299,3.2559,3399,3.2559,3199,3.2559,13.5,4.0248,150.4826,2.647590864,3.4806,0.19,0.200000003,0.119999997,0.207999989,1647
