Country,Countryid,Device,Delta,,rho0,rho0se,,rho1,rho1se,noobs,Threshold,Transactioncost
ALL,a,iPad Pro Large,12,,-0.3318505,0.0089098,,-0.6427421,0.016837,10268,0.1235,
ALL,a,iPad Pro Small,12,,-0.3207802,0.0089575,,-0.5815662,0.0169277,9860,0.1242,
ALL,a,iPad,12,,-0.1740667,0.0129638,,-0.4600065,0.0078031,10268,0.0981,
ALL,a,iPad Mini,12,,-0.1858,0.0103417,,-0.480532,0.010396,10268,0.1132,
ALL,a,iPad Pro Large,24,,-0.4005952,0.0231973,,-0.770007,0.0105329,9860,0.0445,
ALL,a,iPad Pro Small,24,,-0.4330413,0.0215178,,-0.7382059,0.0108377,9452,0.0483,
ALL,a,iPad,24,,-0.1680851,0.0241471,,-0.6581605,0.008765,9860,0.067,
ALL,a,iPad Mini,24,,-0.2872937,0.017771,,-0.7485441,0.0109011,9860,0.0798,
ALL,a,iPad Pro Large,36,,-0.7328064,0.0240714,,-1.054676,0.0112917,9452,0.0456,
ALL,a,iPad Pro Small,36,,-0.6846859,0.0268949,,-1.023429,0.0113637,9044,0.043,
ALL,a,iPad,36,,-0.8388093,0.0109285,,-0.5555062,0.0160656,9452,0.2147,
ALL,a,iPad Mini,36,,-0.4847304,0.0203003,,-0.9998347,0.0117803,9452,0.0772,
ALL,a,iPad Pro Large,48,,-0.7636999,0.0397016,,-1.183659,0.010827,9044,0.0311,
ALL,a,iPad Pro Small,48,,-1.232928,0.0134218,,-1.040559,0.0165418,8636,0.0867,
ALL,a,iPad,48,,-1.100319,0.0120165,,-0.5390129,0.0137877,9044,0.1678,
ALL,a,iPad Mini,48,,-1.157943,0.0115891,,-0.7808544,0.0216178,9044,0.1723,
AE,1,iPad Pro Large,12,0,0.947,0.145,1,-0.132,0.025,302,0.0117,0.033280255
AT,2,iPad Pro Large,12,0,-0.097,0.066,1,-0.423,0.05,302,0.0476,0.2
AU,3,iPad Pro Large,12,0,0.694,0.254,1,-0.437,0.046,302,0.0281,0.1
BE,4,iPad Pro Large,12,0,-0.047,0.074,1,-0.429,0.049,302,0.0442,0.21
BR,5,iPad Pro Large,12,0,-0.042,0.055,1,-0.572,0.055,302,0.1449,0.2925
CA,6,iPad Pro Large,12,0,-1.324,0.207,1,-0.341,0.043,302,0.0247,0.05
CZ,7,iPad Pro Large,12,0,0.821,0.217,1,-0.348,0.041,302,0.0305,0.21
DE,8,iPad Pro Large,12,0,-0.134,0.059,1,-0.458,0.056,302,0.0543,0.19
DK,9,iPad Pro Large,12,0,0.174,0.112,1,-0.399,0.046,302,0.0346,0.25
ES,10,iPad Pro Large,12,0,-0.099,0.067,1,-0.42,0.05,302,0.0477,0.21
FI,11,iPad Pro Large,12,0,-0.088,0.069,1,-0.441,0.051,302,0.0479,0.24
FR,12,iPad Pro Large,12,0,-0.047,0.074,1,-0.429,0.049,302,0.0442,0.2
HK,13,iPad Pro Large,12,0,0.012,0.022,1,-0.522,0.047,302,0.0306,0
HU,14,iPad Pro Large,12,0,-1.264,0.167,1,-0.411,0.051,302,0.0311,0.27
IE,15,iPad Pro Large,12,0,-0.089,0.07,1,-0.443,0.051,302,0.0455,0.23
IT,16,iPad Pro Large,12,0,-0.052,0.073,1,-0.43,0.049,302,0.0451,0.22
JP,17,iPad Pro Large,12,0,-0.317,0.073,1,-0.679,0.067,302,0.0845,0
KR,18,iPad Pro Large,12,0,-0.491,0.047,1,,,302,,0.1
LU,19,iPad Pro Large,12,0,-0.044,0.073,1,-0.429,0.049,302,0.0441,0.17
MX,20,iPad Pro Large,12,0,-0.27,0.066,1,-0.669,0.065,302,0.0881,0.16
MY,21,iPad Pro Large,12,0,-1.228,0.247,1,-0.54,0.052,302,0.0185,0.082038217
NL,22,iPad Pro Large,12,0,-0.042,0.073,1,-0.433,0.049,302,0.0446,0.21
